,pre_all,re_all,f1_all,auc_all
0,0.7423229905452362,0.7715102639296187,0.7503881116604589,0.8285941003967568
1,0.7461630987038473,0.7583103329308263,0.7524927659561346,0.8278902880800414
2,0.7390978851712426,0.7609315163015353,0.747507856587051,0.8252570294980162
3,0.7420144711904705,0.7670967741935483,0.7500052982076297,0.8318587200276004
4,0.7312554079576261,0.7571260997067448,0.7548690123648247,0.8256089356563739
5,0.7437828516955387,0.7638882180438158,0.7448569381363623,0.830735725375194
6,0.7394920012147614,0.7626979472140762,0.7500702506528162,0.8257046748318096
7,0.7476934608772619,0.7738606175608073,0.7521662745948088,0.8315585647748837
8,0.7458403597733081,0.7544911160945317,0.7535493812442146,0.8321329998274971
9,0.7379514597472883,0.7676893220631361,0.7514369712694455,0.8297438330170779
